	weight	wr
614	94.7	77.3
615	93.9	55.5
616	90.4	22.4
617	88.6	18.5
618	84.2	9.5
619	86.8	8.9
620	88.6	17.1
621	91.7	31
622	94.7	37.1
623	95.2	50.6
624	99.1	80.6
625	100	102.5
626	101	98.8
627	99.5	94
628	102.6	94
629	101.5	50.4
630	97.4	27.9
631	91.3	14.7
632	88.7	16
633	82.6	1.7
634	100	92.3
635	99.5	110.1
636	100.9	76.4
637	100	76.4
638	100.9	66.9
639	98.1	45.8
640	91.7	27.8
641	91.2	16.5
642	87	29.1
643	90.3	46.8
644	97.7	77.6
645	98.6	89.4
646	100	109.4
647	102.8	88.7
648	100	102.4
649	99.5	110.3
650	101	103.4
651	101.5	104.9
652	101.5	77.1
653	95.9	41.3
654	85.1	7.9
655	100	105.4
656	98.3	99.9
657	98.3	100.2
658	101.7	115.8
659	98.9	116.5
660	96	72.8
661	85.3	93.4
662	81.4	92.1
663	100	89.3
664	98.6	93.3
665	98.2	63.7
666	99.1	75.7
667	98.6	56.6
668	95	44.9
669	88.5	23
670	81.7	4
671	100	79.3
672	98.6	88.6
673	100	74.2
674	96.6	47.3
675	93.2	24.1
676	92.3	2.3
677	100	14.9
678	114	50.9
679	121.6	47.1
680	115.2	45.2
681	112.3	33
682	99.4	14.4
683	93	6
684	87.1	15
685	80.7	0.8
686	100	104.1
687	96.8	89.2
688	97.7	104.3
689	98.2	102.9
690	98.6	89.2
691	95	63.1
692	85.3	33.9
693	100	80.6
694	94.9	80.6
695	100	79.8
696	100	91.4
697	101	71.1
698	98	30.1
699	88.3	16.6
700	84.8	10.8
701	80.2	3.9
